wavenumbercm-1	lambda_air	lambda_vac	intens	element	ionization_state	source
29707.9319	3365.137587	3366.1043904574185	2.744	Th	I	P
29686.3666	3367.582229	3368.5496560565953	3.104	Th	I	P
29631.267	3373.844479	3374.8135035872747	1.543	Ar	II	N
29621.3426	3374.974894	3375.944208551843	3.722	Th	I	P
29589.7942	3378.573379	3379.5436130475014	2.947	Th	II	P
29587.7771	3378.803715	3379.77400809877	1.995	Th	II	P
29585.27	3379.090049	3380.0604151998614	1.816	Th	II	P
29572.3165	3380.570232	3381.5409760003076	2.358	Ni	I	P
29569.786	3380.859541	3381.830358866987	3.437	Th	I	P
29545.9588	3383.586106	3384.5576201101317	2.223	Th	I	P
29533.6841	3384.992426	3385.9642996587754	1.892	Th	II	P
29528.9807	3385.531607	3386.5036187991413	2.833	Th	II	P
29520.5312	3386.50066	3387.472919186495	2.788	Th	II	P
29518.2424	3386.763253	3387.7355787280885	1.893	Th	II	P
29508.1594	3387.920553	3388.8931750856677	2.976	Th	I	P
29494.7292	3389.463266	3390.4362817475876	3.325	Th	I	P
29493.1867	3389.640541	3390.613602293441	2.957	Th	II	P
29472.3683	3392.034957	3393.0086303922853	3.741	Th	II	P
29461.9818	3393.230819	3394.2047985380264	1.989	Th	II	P
29460.3264	3393.421494	3394.395521700669	2.555	Th	I	P
29455.3662	3393.992954	3394.96712826473	2.541	Th	I	P
29448.3899	3394.797014	3395.7713932604515	2.403	Th	II	P
29445.6545	3395.112389	3396.0868487402786	1.776	Th	II	P
29431.6512	3396.727801	3397.7026745954367	3.664	Th	I	P
29424.8225	3397.516114	3398.4911888593383	3.982	Th	I	P
29415.9159	3398.544852	3399.520189680716	3.943	Th	I	P
29385.8133	3402.026404	3403.0026318856385	2.41	Th	II	P
29377.3549	3403.005954	3403.9824327410774	1.533	Th	II	P
29355.3376	3405.558381	3406.535511960864	3.657	Th	I	P
29327.854	3408.749883	3409.7278307509305	3.714	Th	I	P
29323.3806	3409.269918	3410.2479984862316	2.388	Th	II	P
29252.7846	3417.497794	3418.4779796997514	3.223	Th	I	P
29241.8521	3418.775515	3419.7560283809794	2.834	Th	II	P
29238.4502	3419.173303	3420.1539177339846	2.692	Th	II	P
29221.0446	3421.210006	3422.1911423385595	4.094	Th	I	P
29197.323	3423.989681	3424.971529067922	4.078	Th	I	P
29163.2216	3427.993575	3428.976447512918	1.707	Th	II	P
29154.6693	3428.999181	3429.9823116155185	3.759	Th	I	P
29151.3531	3429.38927	3430.372499587335	2.151	Th	II	P
29130.787	3431.810465	3432.7943148257546	2.349	Th	II	P
29124.2303	3432.583087	3433.567135334732	1.733	Ar	II	W
29115.9832	3433.555396	3434.5396929614935	2.746	Ni	I	P
29095.4624	3435.977129	3436.9620467004506	3.466	Th	II	P
29084.2051	3437.307095	3438.2923533983744	4.233	Th	I	P
29070.3082	3438.950331	3439.9360100351464	2.849	Th	II	P
29066.5182	3439.398751	3440.384545266932	3.394	Th	I	P
29049.9139	3441.364697	3442.35099436904	2.345	Th	II	P
29048.5457	3441.526792	3442.513130700378	2.449	Th	I	P
29039.6673	3442.579014	3443.5656223926503	3.38	Th	I	P
29025.5533	3444.253057	3445.2400946995904	1.992	Th	I	P
29017.4301	3445.217278	3446.2045624088537	2.473	Th	II	P
29012.9933	3445.744152	3446.7315718161353	2.468	Th	II	P
29006.2313	3446.547456	3447.535081884285	2.833	Th	I	P
28986.0369	3448.948718	3449.936959129449	2.585	Th	I	P
28983.1936	3449.287076	3450.275403742947	2.273	Th	II	P
28969.2486	3450.947518	3451.936271484791	1.977	Th	II	P
28962.9135	3451.702372	3452.6913185028848	3.538	Th	I	P
28954.6955	3452.682073	3453.67127069252	2.542	Th	II	P
28942.852	3454.094963	3455.0845231147227	2.943	Ar	II	W
28932.9877	3455.272624	3456.2624861586623	1.649	Th	II	P
28930.1373	3455.613072	3456.603021375913	2.665	Th	I	P
28923.2017	3456.441731	3457.4318928184216	1.871	Th	II	P
28917.9526	3457.069153	3458.0594754830604	3.325	Th	I	P
28906.3347	3458.458644	3459.4493227119524	2.908	Ni	I	P
28884.954	3461.018679	3462.0100139332053	4.164	Th	I	P
28883.2969	3461.217251	3462.2086372695217	4.011	Th	I	P
28869.674	3462.850565	3463.8423696782997	2.904	Th	II	P
28862.43	3463.71971	3464.711737715778	2.534	Th	II	P
28859.0385	3464.126777	3465.1189089338513	2.973	Ar	II	W
28840.6715	3466.33295	3467.3256480869386	3.023	Ar	II	W
28835.981	3466.896805	3467.88964800608	2.071	Th	II	P
28824.9815	3468.219799	3469.212981108071	3.045	Th	II	P
28815.6293	3469.345454	3470.338924716803	3.866	Th	I	P
28810.8515	3469.920804	3470.914422643843	3.543	Th	II	P
28805.4832	3470.567491	3471.561275528265	2.951	Th	I	P
28801.8895	3471.000537	3471.9944328652464	2.959	Th	I	P
28796.9453	3471.596494	3472.5905459146043	1.393	Ar	II	N
28793.936	3471.95933	3472.95347186991	3.06	Th	I	P
28764.2878	3475.538088	3476.5331474676736	1.941	Th	II	P
28754.2852	3476.74714	3477.7425105319608	3.693	Ar	II	W
28746.3718	3477.70426	3478.699875439585	2.191	Th	II	P
28740.0972	3478.463542	3479.4593526983617	2.16	Th	II	P
28730.0113	3479.684721	3480.6808447026265	2.908	Th	I	P
28726.9749	3480.052529	3481.04874767026	2.851	Th	I	P
28719.1315	3481.002984	3481.999446954028	1.732	Th	II	P
28693.7685	3484.080004	3485.0772564084778	2.027	Th	II	P
28686.6588	3484.943524	3485.94099777141	1.763	Th	I	P
28682.3078	3485.472192	3486.4698021265917	1.733	Th	II	P
28667.1477	3487.315475	3488.3135583105113	1.833	Ar	II	W
28654.6718	3488.833855	3489.8323281441317	2.871	Th	I	P
28651.7951	3489.184152	3490.1827145901934	2.926	Th	I	P
28649.1394	3489.5076	3490.506245363866	3.137	Th	I	P
28637.9344	3490.872959	3491.871955681273	2.713	Ar	II	W
28634.8933	3491.24371	3492.2428015472997	3.653	Ar	II	W
28632.4995	3491.535601	3492.5347680526456	4.063	Ar	II	W
28629.5112	3491.900053	3492.8993129299392	2.682	Th	I	P
28598.3921	3495.699846	3496.700081960202	3.423	Th	I	P
28589.3072	3496.810716	3497.8112376224353	3.608	Th	I	P
28582.1525	3497.686065	3498.6868116388364	1.978	Th	II	P
28574.5146	3498.621016	3499.6220023279066	3.467	Th	I	P
28551.3801	3501.455948	3502.4576622830223	2.471	Th	II	P
28532.3939	3503.785976	3504.7882890751766	3.061	Th	I	P
28518.491	3505.494138	3506.4968900353106	2.224	Th	II	P
28513.2964	3506.132793	3507.1357095000776	2.453	Th	I	P
28509.1252	3506.645794	3507.648842202987	2.374	Th	I	P
28507.4486	3506.852035	3507.8551364993077	1.881	Th	II	P
28483.6844	3509.777919	3510.7817723187527	3.713	Ar	II	W
28446.3265	3514.387363	3515.392400491501	3.753	Ar	II	W
28428.6133	3516.577158	3517.582758776349	1.736	Th	II	P
28426.6155	3516.824308	3517.829971703807	2.179	Th	II	P
28413.8527	3518.404024	3519.4100939363284	3.679	Th	I	P
28401.0237	3519.993364	3520.9998433964897	3.343	Ar	II	W
28392.4246	3521.059481	3522.0662345265155	3.222	Th	I	P
28390.8085	3521.259918	3522.266722344311	3.063	Ar	II	W
28372.7099	3523.50615	3524.5135326322848	3.175	Th	I	P
28370.6777	3523.758548	3524.7659945747437	2.718	Th	I	P
28367.2952	3524.178731	3525.186285649116	2.324	Th	I	P
28364.416	3524.536471	3525.5441183770536	3.394	Ni	I	P
28347.5446	3526.634204	3527.6423905864494	3.262	Th	I	P
28342.0142	3527.322379	3528.3307422801304	2.673	Th	I	P
28333.2648	3528.411658	3529.4203017507534	2.88	Th	I	P
28325.4434	3529.385973	3530.394867534536	2.842	Th	I	P
28316.3872	3530.51478	3531.5239650346352	3.332	Th	I	P
28308.884	3531.450561	3532.459986765992	3.331	Th	I	P
28264.6553	3536.976754	3537.9876010729204	1.98	Th	I	P
28263.193	3537.159758	3538.170651843902	2.488	Th	II	P
28254.7834	3538.212569	3539.223733705918	1.824	Th	II	P
28245.9245	3539.322306	3540.333756822157	2.934	Th	II	P
28243.8101	3539.587276	3540.598794778046	3.561	Th	II	P
28241.793	3539.840089	3540.851673263096	2.793	Th	I	P
28227.6325	3541.615914	3542.627955072038	2.088	Th	II	P
28224.8131	3541.969699	3542.9818311179533	1.663	Th	II	P
28215.4354	3543.146944	3544.1593788058294	2.483	Ar	II	W
28208.5011	3544.017956	3545.0306149021153	3.369	Th	I	P
28195.9531	3545.595189	3546.6082542178724	4.013	Ar	II	W
28193.9815	3545.843139	3546.8562678882367	3.963	Ar	II	W
28172.761	3548.514041	3549.527857777234	3.353	Ar	II	W
28164.1743	3549.595944	3550.610038654675	3.479	Th	I	P
28158.6492	3550.292441	3551.306715380367	1.944	Th	II	P
28149.8525	3551.401923	3552.4164824664713	3.636	Th	I	P
28136.3179	3553.110325	3554.125324977225	2.544	Th	II	P
28126.8569	3554.305517	3555.320822213875	3.812	Ar	I	N
28121.2554	3555.01352	3556.029009999319	3.507	Th	I	P
28115.7897	3555.704633	3556.7203008350853	2.972	Th	I	P
28110.9688	3556.314437	3557.3302617731197	1.904	Th	II	P
28106.3113	3556.903771	3557.9197473700506	2.753	Ar	II	W
28073.7438	3561.030143	3562.0471823212974	4.073	Ar	II	W
28042.2522	3565.029311	3566.047380459691	3.273	Ar	II	W
28037.7306	3565.604254	3566.622471220977	2.451	Th	I	P
28031.6965	3566.371807	3567.3902219938777	2.756	Ni	I	P
28024.6873	3567.26381	3568.2824550195783	4.042	Th	I	P
28006.1862	3569.620438	3570.639689598293	2.109	Th	II	P
28004.6169	3569.820475	3570.8397782081424	3.488	Th	I	P
28000.4031	3570.357715	3571.3771563524383	2.697	Th	I	P
27999.0993	3570.523976	3571.5434603283825	2.503	Th	I	P
27990.875	3571.573099	3572.592853921144	2.09	Th	II	P
27977.9771	3573.219647	3574.2398259379515	2.35	Th	II	P
27963.0566	3575.126295	3576.1469652784667	2.958	Th	I	P
27951.4149	3576.615368	3577.636422262116	5.153	Ar	II	W
27946.7244	3577.215674	3578.236882745371	1.821	Th	II	P
27943.727	3577.599396	3578.6207043892177	2.279	Th	I	P
27937.8217	3578.355625	3579.377128031424	1.943	Ar	II	W
27933.1839	3578.949763	3579.9714188685807	2.705	Th	I	P
27912.4526	3581.608015	3582.6303561730006	2.893	Ar	II	W
27909.327	3582.009135	3583.0315793712975	2.488	Th	II	P
27906.637	3582.354424	3583.376957961649	3.253	Ar	II	W
27892.4573	3584.175638	3585.1986407809254	3.55	Th	I	P
27859.3101	3588.440232	3589.464334940584	5.153	Ar	II	W
27849.1494	3589.749503	3590.7739429915946	3.528	Th	I	P
27847.2515	3589.994165	3591.018668395335	2.888	Th	I	P
27840.0306	3590.925332	3591.950074939932	2.629	Th	I	P
27837.4764	3591.254823	3592.279650751675	2.39	Th	I	P
27835.9449	3591.452414	3592.4772936305103	3.596	Th	I	P
27827.928	3592.487098	3593.51224424614	1.727	Th	II	P
27815.3538	3594.111161	3595.136726249371	2.027	Th	II	P
27808.5881	3594.985616	3596.011406274884	2.84	Th	I	P
27803.6994	3595.617736	3596.6436897961858	3.212	Th	I	P
27784.3644	3598.119977	3599.1465761225045	4.102	Th	I	P
27781.2396	3598.524701	3599.5514037465773	2.422	Th	I	P
27771.984	3599.724018	3600.7510302468845	2.918	Th	I	P
27766.5206	3600.432327	3601.4595217234382	2.815	Th	I	P
27756.1963	3601.771594	3602.799134260338	2.369	Th	I	P
27745.1609	3603.204207	3604.232116743645	2.799	Th	II	P
27729.8507	3605.193661	3606.222084708159	2.847	Th	I	P
27719.6407	3606.521607	3607.5503677073275	3.812	Ar	I	N
27712.9423	3607.393345	3608.422336303136	1.801	Th	II	P
27701.5136	3608.881673	3609.911048326255	2.216	Th	I	P
27697.1889	3609.445187	3610.4747077780157	3.52	Th	II	P
27684.0333	3611.160461	3612.1904245794994	2.671	Th	I	P
27679.0315	3611.813042	3612.8431733603106	2.213	Ar	II	W
27674.3237	3612.42748	3613.457769882196	4.268	Th	I	P
27670.9598	3612.866647	3613.897050293138	3.786	Th	I	P
27653.615	3615.132757	3616.1637456802664	3.223	Th	II	P
27648.1271	3615.850348	3616.8815210633197	2.689	Th	I	P
27645.6236	3616.177796	3617.209054383566	2.593	Th	I	P
27634.2086	3617.671589	3618.7032329197946	2.674	Th	I	P
27628.9255	3618.363366	3619.395187843986	3.243	Th	I	P
27627.1419	3618.596972	3619.6288549124224	2.077	Th	I	P
27622.4478	3619.211926	3620.243966937644	2.873	Th	I	P
27621.0814	3619.390971	3620.423058454185	3.156	Ni	I	P
27610.0378	3620.838712	3621.871173244102	3.009	Th	I	P
27595.1255	3622.795452	3623.82841853718	3.506	Th	I	P
27582.3613	3624.472007	3625.5054058769074	3.055	Th	I	P
27573.5669	3625.628038	3626.6617359540815	3.203	Th	II	P
27508.4284	3634.213564	3635.249478665237	1.831	Th	II	P
27505.6384	3634.582206	3635.61821564556	3.698	Th	I	P
27500.647	3635.241904	3636.2780846574265	2.191	Th	II	P
27499.3037	3635.419485	3636.4557114222494	2.499	Th	II	P
27490.6286	3636.56673	3637.603252186092	1.997	Th	II	P
27477.387	3638.319271	3639.3562459195996	3.283	Th	I	P
27474.9313	3638.644471	3639.6815303410785	3.219	Th	I	P
27468.8732	3639.446974	3640.4842409043554	2.824	Th	II	P
27447.7416	3642.249004	3643.2869945117814	4.333	Th	I	P
27445.3009	3642.572916	3643.6109906158836	3.08	Th	I	P
27438.2247	3643.512345	3644.550662200824	3.344	Th	I	P
27435.8704	3643.825007	3644.8634048074523	2.459	Th	I	P
27429.18	3644.713816	3645.7524432009996	1.883	Th	II	P
27427.1739	3644.980407	3646.0191037035715	1.876	Th	I	P
27404.9754	3647.932982	3648.972441697576	2.241	Th	I	P
27398.0489	3648.855241	3649.8949383216845	1.76	Th	II	P
27395.0881	3649.249611	3650.289410823249	2.81	Th	II	P
27387.921	3650.204603	3651.2446490553266	2.013	Th	I	P
27370.4307	3652.537225	3653.577873730719	2.379	Th	II	P
27356.0169	3654.461786	3655.5029325193905	3.135	Th	I	P
27344.1376	3656.049461	3657.0910175642184	2.493	Ar	II	W
27339.3192	3656.693835	3657.7355591210185	3.589	Th	I	P
27336.6163	3657.0554	3658.0972166624733	2.533	Th	I	P
27323.5167	3658.808733	3659.8510030006496	3.389	Th	I	P
27317.3897	3659.629386	3660.6718686595445	4.28	Th	I	P
27299.8304	3661.983328	3663.026419387573	2.728	Th	I	P
27290.7448	3663.202503	3664.245909477707	3.838	Th	I	P
27276.0122	3665.181162	3666.225079632425	1.521	Th	II	P
27262.6238	3666.981142	3668.0255258483226	3.211	Th	I	P
27257.8614	3667.621842	3668.6663906802314	2.421	Th	I	P
27232.7478	3671.004152	3672.0495755481566	2.333	Ar	II	W
27228.7746	3671.539836	3672.58539794883	3.364	Th	I	P
27223.1362	3672.300297	3673.346056285756	3.089	Th	I	P
27221.4944	3672.521789	3673.567605458134	2.782	Th	I	P
27212.0713	3673.793557	3674.8397024815968	2.734	Th	II	P
27207.4431	3674.418515	3675.4648216097894	1.826	Th	I	P
27203.945	3674.891013	3675.937442161422	3.05	Th	I	P
27202.1227	3675.137204	3676.183697237716	3.25	Th	I	P
27198.9377	3675.567575	3676.6141789427315	3.328	Th	II	P
27197.2969	3675.789326	3676.8359873293143	3.165	Th	I	P
27196.0395	3675.959279	3677.0059846397858	2.931	Th	I	P
27190.6369	3676.689687	3677.7365814480054	1.943	Th	II	P
27169.5418	3679.544434	3680.5920665176623	3.1	Th	I	P
27168.3157	3679.710495	3680.7581708129223	2.934	Th	II	P
27165.7322	3680.06045	3681.108216181267	2.373	Ar	II	W
27162.8738	3680.447719	3681.4955860819114	3.2	Th	I	P
27140.4166	3683.493166	3684.5418209240015	2.491	Th	I	P
27129.8129	3684.932899	3685.9819258097427	2.761	Th	I	P
27124.9979	3685.587034	3686.6362301174595	2.303	Th	I	P
27109.6765	3687.670047	3688.719782399469	2.385	Th	II	P
27107.3677	3687.984143	3689.0339595754995	2.951	Th	I	P
27087.9796	3690.623869	3691.674369099126	3.906	Th	I	P
27085.9908	3690.89486	3691.9454318060243	2.912	Ar	I	N
27082.1982	3691.411749	3692.46245306631	3.571	Th	I	P
27080.7137	3691.614109	3692.6648650327115	3.182	Th	I	P
27073.7298	3692.566417	3693.617419495706	3.686	Th	I	P
27068.7382	3693.247361	3694.2985395602964	2.196	Th	I	P
27053.7834	3695.288968	3696.34067521957	3.102	Th	I	P
27048.771	3695.973758	3697.0256430504733	2.339	Th	II	P
27041.0371	3697.030856	3698.083014722834	2.172	Th	II	P
27035.8247	3697.743648	3698.7959904918307	2.841	Th	I	P
27033.1744	3698.106179	3699.1586160151433	3.466	Th	I	P
27020.2084	3699.880809	3700.93370560384	3.079	Th	I	P
27013.7501	3700.765379	3701.8185046436774	2.284	Th	II	P
27012.1965	3700.978233	3702.0314138467047	3.604	Th	I	P
26998.4415	3702.863833	3703.91750205285	2.067	Th	II	P
26995.7726	3703.229921	3704.2836847721856	3.433	Th	I	P
26991.8047	3703.774325	3704.828228843846	3.423	Th	I	P
26970.0114	3706.767261	3707.821940334812	3.803	Th	I	P
26937.043	3711.30411	3712.359964677637	2.808	Th	II	P
26934.7292	3711.622934	3712.6788711133577	3.316	Th	I	P
26904.006	3715.861553	3716.9185882578226	2.395	Th	I	P
26878.1606	3719.434728	3720.492688774246	4.607	Th	I	P
26865.3005	3721.215223	3722.2736443986546	3.44	Th	I	P
26860.8958	3721.82545	3722.8840298021632	3.652	Th	II	P
26850.3317	3723.289817	3724.3487759221985	2.019	Th	II	P
26845.7886	3723.919923	3724.9790456891255	2.296	Th	I	P
26819.1993	3727.612014	3728.6720935028065	3.155	Th	I	P
26817.1077	3727.902757	3728.9629112389325	3.946	Th	I	P
26807.002	3729.308136	3730.368655174495	3.433	Ar	II	W
26799.3832	3730.368368	3731.4291621457915	3.415	Th	I	P
26780.5956	3732.985429	3734.046900734351	3.027	Th	I	P
26775.668	3733.672438	3734.734087679904	3.205	Th	I	P
26748.1581	3737.512535	3738.575180621502	3.502	Th	I	P
26745.4646	3737.888945	3738.9516875320987	3.163	Ar	II	W
26742.114	3738.357288	3739.4201520493107	2.155	Th	I	P
26724.2582	3740.855132	3741.918643788586	2.37	Th	II	P
26721.9158	3741.183057	3742.246654336064	3.844	Th	II	P
26709.4913	3742.923393	3743.987441647756	3.926	Th	I	P
26687.7644	3745.970638	3747.0354766770947	3.327	Th	I	P
26676.5955	3747.539032	3748.604277483609	2.787	Th	II	P
26640.8391	3752.568973	3753.635522688923	3.198	Th	II	P
26639.2671	3752.79042	3753.8570270951636	2.423	Th	I	P
26636.0613	3753.242101	3754.3088249312596	2.967	Th	I	P
26626.4775	3754.593057	3755.6601319119286	2.794	Th	II	P
26622.088	3755.212137	3756.279372226551	3.312	Th	I	P
26614.4198	3756.294123	3757.361638971367	3.023	Th	I	P
26604.5041	3757.694157	3758.762036086965	3.458	Th	I	P
26599.033	3758.467089	3759.5351680641925	3.572	Th	I	P
26597.3403	3758.70629	3759.7744312802583	2.924	Th	I	P
26576.1426	3761.704389	3762.773307816312	2.538	Th	I	P
26571.112	3762.416594	3763.485698302728	1.973	Th	II	P
26542.6773	3766.447304	3767.5174538628776	2.568	Th	I	P
26528.6712	3768.43589	3769.5065556091627	1.984	Th	II	P
26517.2713	3770.055998	3771.1270842562144	3.648	Th	I	P
26508.0267	3771.370827	3772.4422542550105	4.259	Th	I	P
26501.9405	3772.236947	3773.3085997985695	2.133	Th	II	P
26499.0399	3772.649869	3773.721628306994	3.079	Th	I	P
26491.2628	3773.757441	3774.8294883096323	2.459	Th	II	P
26473.629	3776.271162	3777.3438616972385	3.299	Th	I	P
26426.4527	3783.012697	3784.087146891266	2.576	Th	II	P
26424.4709	3783.296425	3784.3709483696794	2.935	Th	II	P
26408.3869	3785.600691	3786.675815477393	2.644	Th	II	L
26402.9308	3786.383	3787.4583226192453	2.653	Ar	II	L
26392.122	3787.933732	3789.0094627480125	1.813	Th	I	L
26389.1559	3788.359497	3789.435341507077	1.998	Th	II	L
26372.2018	3790.795014	3791.871484920914	3.237	Th	I	L
26358.7442	3792.730469	3793.8074455003816	2.524	Th	I	L
26351.204	3793.815763	3794.8930151350955	2.055	Th	I	L
26348.8766	3794.150875	3795.2282185723243	1.996	Th	II	L
26345.0781	3794.697945	3795.77542417686	2.444	Th	I	L
26325.9555	3797.454398	3798.5325926726573	1.656	Th	II	L
26321.4562	3798.103527	3799.1819008858633	2.813	Th	I	L
26306.9471	3800.198363	3801.277267935054	2.475	Th	I	L
26305.7426	3800.37237	3801.451322647702	1.856	Th	II	L
26304.2448	3800.588763	3801.667782532194	1.619	Th	II	L
26291.5787	3802.419762	3803.4992550675556	2.12	Th	I	L
26280.7633	3803.984627	3805.06452032921	2.783	Th	I	L
26275.8319	3804.69856	3805.778647868424	1.983	Th	I	L
26258.0668	3807.27273	3808.35347711127	2.216	Th	I	L
26253.9192	3807.874216	3808.9551216414193	2.669	Th	II	L
26252.1632	3808.128934	3809.2099016053658	1.86	Th	II	L
26243.0166	3809.456226	3810.537543157291	3.275	Ar	II	L
26240.405	3809.835378	3810.9167903467956	1.961	Th	II	L
26232.4173	3810.995489	3812.0772041850673	2.862	Th	I	L
26222.7678	3812.3979	3813.4799790279953	2.209	Th	I	L
26218.16	3813.067943	3814.1501920806036	2.764	Th	II	L
26213.0241	3813.815043	3814.8974959359994	2.626	Th	I	L
26204.6986	3815.026758	3816.109527777587	1.732	Th	II	L
26200.9992	3815.565429	3816.6483360680386	2.607	Th	I	L
26179.5937	3818.685274	3819.768982892962	3.17	Th	I	L
26165.156	3820.792436	3821.8766973909883	2.993	Th	I	L
26160.7846	3821.430886	3822.5153231833883	2.432	Th	II	L
26149.5868	3823.067356	3824.1522041946755	2.806	Th	I	L
26131.7805	3825.672458	3826.7579968383707	2.663	Ar	II	L
26127.0249	3826.36883	3827.454537313202	2.66	Th	I	L
26124.0311	3826.807333	3827.893161557291	2.855	Ar	II	L
26113.2683	3828.38462	3829.4708594557655	4.231	Th	I	L
26101.8429	3830.060435	3831.1471103061463	2.598	Th	I	L
26096.9831	3830.773695	3831.860549428796	3.813	Th	I	L
26083.2625	3832.788843	3833.876226181445	1.638	Th	II	L
26070.4112	3834.678239	3835.7661194081975	2.957	Ar	I	L
26063.3952	3835.710528	3836.798668501946	2.48	Th	I	L
26054.4708	3837.024398	3838.1128815711736	1.684	Th	I	L
26048.6931	3837.875485	3838.964189723591	3.518	Th	I	L
26028.8583	3840.800127	3841.8895998984326	2.87	Th	I	L
26023.9908	3841.518528	3842.6081829079035	2.482	Ar	II	L
26020.9984	3841.96032	3843.0500806610094	2.731	Th	II	L
26017.0035	3842.550255	3843.6401793926807	1.797	Th	I	L
26002.2459	3844.731154	3845.8216411221615	2.108	Ar	II	L
25997.6861	3845.405511	3846.4961695187176	2.941	Ar	II	L
25991.9848	3846.249004	3847.3398922578626	1.736	Th	II	L
25989.4324	3846.626761	3847.7177362288217	2.101	Th	I	L
25982.7281	3847.619324	3848.710559381176	2.166	Th	I	L
25967.2603	3849.911264	3851.0031033192977	2.107	Th	I	L
25965.7638	3850.133154	3851.2250504258227	1.997	Th	II	L
25962.7407	3850.581478	3851.6734868441686	3.727	Ar	II	L
25952.2693	3852.135168	3853.227586537105	3.175	Th	I	L
25946.7229	3852.95863	3854.051256700321	1.619	Th	II	L
25936.2783	3854.510257	3855.603292165476	2.812	Th	II	L
25916.1224	3857.508124	3858.601933443562	1.967	Th	II	L
25876.5601	3863.405946	3864.5012943586735	2.806	Th	II	L
25853.1232	3866.908367	3868.0046208111517	2.548	Th	I	L
25842.2953	3868.528624	3869.6253114946794	3.508	Ar	II	L
25834.7182	3869.663262	3870.760239219486	2.922	Th	I	L
25818.2116	3872.137342	3873.2349687613532	2.464	Ar	II	L
25811.4755	3873.147903	3874.245778781612	3.029	Th	I	L
25806.9833	3873.822102	3874.920165504195	4.029	Th	I	L
25804.1748	3874.243737	3875.341907852833	3.317	Th	I	L
25800.0554	3874.862342	3875.9606694487948	3.678	Th	I	L
25794.8355	3875.646477	3876.745017428004	2.533	Th	I	L
25770.7504	3879.268711	3880.368186717605	2.461	Th	I	L
25769.5614	3879.447701	3880.5472257669085	2.166	Th	I	L
25768.2567	3879.644138	3880.743705879024	3.184	Th	I	L
25755.9433	3881.49895	3882.599011623077	1.758	Th	II	L
25751.663	3882.144129	3883.244355908199	1.918	Th	II	L
25750.4701	3882.323983	3883.4242486314843	1.685	Th	I	L
25740.8965	3883.767924	3884.86857868373	1.684	Th	I	L
25727.6449	3885.768405	3886.8695672956837	2.267	Th	II	L
25700.2779	3889.906259	3891.00850928931	1.893	Th	I	L
25688.2598	3891.726166	3892.8288945442696	2.286	Th	I	L
25686.5894	3891.979258	3893.082045372672	2.975	Ar	II	L
25675.5551	3893.651916	3894.7551322853383	2.35	Th	I	L
25670.5659	3894.408678	3895.512096988871	1.529	Th	II	L
25668.9091	3894.660049	3895.763532856953	2.128	Ar	I	L
25663.9063	3895.419264	3896.5229544966037	3.515	Th	I	L
25627.9931	3900.878145	3901.983257518514	2.803	Th	II	L
25626.1904	3901.152563	3902.2577464342885	1.755	Th	II	L
25622.8451	3901.661916	3902.7672223643895	2.679	Th	I	L
25613.3896	3903.102286	3904.2079772214142	3.132	Th	I	L
25610.9012	3903.481532	3904.587316903944	2.393	Th	I	L
25599.7231	3905.186018	3906.2922520439292	2.377	Th	II	L
25584.2801	3907.543305	3908.6501402085573	2.093	Th	I	L
25576.3924	3908.748399	3909.8555588316667	2.244	Th	I	L
25573.8392	3909.138646	3910.24590472908	2.496	Th	I	L
25564.7987	3910.521068	3911.628688083509	1.845	Th	I	L
25563.148	3910.773586	3911.881275342145	2.16	Th	I	L
25544.3901	3913.645438	3914.7538699700644	2.095	Th	I	L
25537.0637	3914.768255	3915.876984713791	2.686	Ar	II	L
25530.0188	3915.848553	3916.9575542968264	2.143	Th	I	L
25526.3105	3916.417436	3917.5265849720035	3.771	Th	I	L
25520.7614	3917.269011	3918.3783913280895	2.604	Th	I	L
25517.5133	3917.767654	3918.877157987021	1.659	Ar	II	L
25478.2881	3923.7994	3924.910480936119	3.286	Th	I	L
25465.829	3925.719162	3926.8307346287447	3.603	Ar	II	L
25463.7107	3926.045746	3927.157403653663	2.54	Ar	II	L
25458.4058	3926.863849	3927.9757258013383	2.044	Th	I	L
25456.38	3927.176351	3928.2883112209984	2.007	Th	II	L
25447.0026	3928.623574	3929.7359131798103	3.578	Ar	II	L
25440.2317	3929.669203	3930.7818096641	3.805	Th	II	L
25423.6872	3932.226498	3933.3397714238713	2.146	Th	II	L
25421.6161	3932.546855	3933.6602207599226	3.29	Ar	II	L
25419.2603	3932.911332	3934.024783561463	3.552	Th	I	L
25414.4148	3933.661199	3934.77484281873	2.701	Ca	II	L
25392.6051	3937.039891	3938.1544196109285	2.35	Th	II	L
25347.7531	3944.0065	3945.122851934359	2.553	Al	I	L
25338.1112	3945.507354	3946.624087749682	2.594	Th	II	L
25336.1017	3945.820294	3946.9371091133567	2.469	Th	II	L
25326.4079	3947.3306	3948.447817584112	3.031	Th	I	L
25325.2915	3947.504607	3948.621874697869	2.864	Ar	I	L
25306.7596	3950.395397	3951.5134130408383	4.173	Th	I	L
25304.1363	3950.804941	3951.92306958922	2.51	Th	I	L
25252.222	3958.927319	3960.0475554190834	1.852	Th	I	L
25249.8455	3959.299941	3960.4202726705794	3.184	Th	I	L
25229.9674	3962.419438	3963.540594983091	2.724	Th	I	L
25219.7171	3964.029968	3965.151536136779	2.479	Th	I	L
25198.3452	3967.392112	3968.5145673772263	3.949	Th	I	L
