wavenumbercm-1	lambda_air	lambda_vac	intens	element	ionization_state	source
10438.4412	9577.347425	9579.97445059134	2.025	Th	II	P
10425.9668	9588.806513	9591.436642595101	1.814	Th	I	P
10411.7224	9601.925116	9604.558799992592	3.103	Ar	II	W
10405.6434	9607.534601	9610.16980458892	1.556	Th	II	P
10404.6125	9608.486529	9611.121990367254	2.703	Th	I	P
10404.1268	9608.935087	9611.570670207519	2.184	Th	I	P
10392.6174	9619.576627	9622.21509280232	2.813	Ar	II	W
10389.9284	9622.066262	9624.705402204696	2.893	Ar	II	W
10386.5475	9625.198328	9627.838316822794	2.75	Th	I	P
10383.8804	9627.670569	9630.311227390484	2.085	Th	I	P
10381.833	9629.569247	9632.210419874795	3.551	Th	I	P
10373.9336	9636.901863	9639.54502272889	1.808	Th	I	P
10369.3177	9641.191743	9643.836064546465	2.243	Ar	II	W
10367.935	9642.477526	9645.122196464388	2.134	Th	II	P
10344.0975	9664.69825	9667.348939818094	3.821	Th	I	P
10333.3062	9674.791341	9677.44476593561	2.617	Th	I	P
10329.0176	9678.80832	9681.462833406345	2.763	Ar	II	W
10323.7657	9683.732134	9686.387981470754	1.649	Th	I	P
10322.6276	9684.799798	9687.45593418482	1.766	Th	I	P
10311.7341	9695.031027	9697.689935585131	2.479	Th	I	P
10305.8536	9700.563011	9703.22341858223	4.019	Th	I	P
10292.539	9713.111863	9715.775670123765	2.373	Ar	II	W
10289.3292	9716.141919	9718.806547661046	2.325	Th	I	P
10268.1186	9736.212381	9738.88244726741	2.216	Th	I	P
10264.3694	9739.768676	9742.43970603786	2.503	Ar	II	W
10257.3196	9746.462788	9749.135631885742	4.37	Th	I	P
10253.4564	9750.13498	9752.808818692592	2.773	Ar	II	W
10249.8223	9753.591926	9756.266701326129	2.555	Th	I	P
10247.1437	9756.14152	9758.816986239784	2.993	Ar	II	W
10246.0115	9757.219592	9759.895350498093	2.219	Th	I	P
10244.5239	9758.636436	9761.31257793249	3.093	Ar	II	W
10233.0958	9769.534705	9772.21380063695	2.287	Th	I	P
10228.8735	9773.567411	9776.247599503504	3.113	Ar	II	W
10212.2144	9789.511002	9792.195510505537	2.478	Th	I	P
10208.3356	9793.230676	9795.91619225371	2.513	Ar	II	W
10205.2412	9796.200157	9798.88647805796	3.226	Th	I	P
10204.1523	9797.245527	9799.932131550016	2.141	Th	I	P
10200.9066	9800.362802	9803.05025045519	2.152	Th	I	P
10200.3194	9800.926979	9803.614580931651	2.289	Ar	I	W
10197.4448	9803.689812	9806.37816249812	3.073	Ar	II	W
10188.0839	9812.697557	9815.388347950295	3.945	Th	I	P
10186.2949	9814.420948	9817.11220632342	2.503	Ar	II	W
